id,decimal_number,roman_number,district_head,state,entity_first_place,total_first_place,entity_second_place,total_second_place,total_votes,electoral_roll,published,created_date,updated_date,election_id
1,1,I,COSIO,AGU,C_PRI_PT_PVEM_PANAL,11467,PAN,10323,24563,40654,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
2,2,II,ASIENTOS,AGU,C_PRI_PT_PVEM_PANAL,15518,PAN,8820,27617,41164,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
3,3,III,PABELLÓN DE ARTEAGA,AGU,C_PRI_PT_PVEM_PANAL,12873,PAN,9866,28147,42319,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
4,4,IV,JESÚS MARÍA I,AGU,C_PRI_PT_PVEM_PANAL,10663,PAN,8939,22906,45456,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
5,5,V,AGUASCALIENTES I,AGU,PAN,7429,C_PRI_PT_PVEM_PANAL,6190,16751,37685,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
6,6,VI,AGUASCALIENTES II,AGU,PAN,16767,C_PRI_PT_PVEM_PANAL,9344,29874,51708,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
7,7,VII,JESÚS MARÍA II,AGU,C_PRI_PT_PVEM_PANAL,9900,PAN,9561,22007,44440,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
8,8,VII,CALVILLO,AGU,PAN,13750,C_PRI_PT_PVEM_PANAL,10114,27285,47344,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
9,9,IX,AGUASCALIENTES III,AGU,PAN,7841,C_PRI_PT_PVEM_PANAL,7200,18038,39446,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
10,10,X,AGUASCALIENTES IV,AGU,PAN,10456,C_PRI_PT_PVEM_PANAL,6691,20028,37327,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
11,11,XI,AGUASCALIENTES V,AGU,PAN,12712,C_PRI_PT_PVEM_PANAL,10118,26726,48983,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
12,12,XII,AGUASCALIENTES VI,AGU,C_PRI_PT_PVEM_PANAL,6895,PAN,5113,14224,36897,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
13,13,XIII,AGUASCALIENTES VII,AGU,PAN,7705,C_PRI_PT_PVEM_PANAL,7571,18479,39160,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
14,14,XIV,AGUASCALIENTES VIII,AGU,PAN,8710,C_PRI_PT_PVEM_PANAL,8021,20431,40299,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
15,15,XV,AGUASCALIENTES IX,AGU,C_PRI_PT_PVEM_PANAL,7176,PAN,6014,16442,35633,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
16,16,XVI,AGUASCALIENTES X,AGU,C_PRI_PT_PVEM_PANAL,6103,PAN,4971,13556,30504,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
17,17,XVII,AGUASCALIENTES XI,AGU,PAN,13770,C_PRI_PT_PVEM_PANAL,8470,26193,48399,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
18,18,XVIII,AGUASCALIENTES XII,AGU,PAN,6717,C_PRI_PT_PVEM_PANAL,6664,16092,34172,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995,1
